STNCode|Name of Monitoring Location|State_Name|Temperature_Min|Temperature_Max|pH_Min|pH_Max|Conductivity_Min(μmhos/cm)|Conductivity_Max(μmhos/cm)|BOD_Min (mg/L)|BOD_Max (mg/L)|Nitrate N_Min (mg/L)|Nitrate N_Max (mg/L)|Faecal Coliform_Min (MPN/100ml)|Faecal Coliform_Max (MPN/100ml)|Total Coliform_Min (MPN/100ml)|Total Coliform_Max (MPN/100ml)|Total Dissolved Solids_Min (mg/L)|Total Dissolved Solids_Max (mg/L)|Fluoride_Min(mg/L)|Fluoride_Max(mg/L)|Arsenic_Min (mg/L)|Arsenic_Max (mg/L)
1838|GROUND WATER FROM TAPWATER NEAR VEER KUWAR SINGH CHOWK, MUNGER|BIHAR|20|20|7.1|7.1|1030|1030|-|-|0.3|0.3|12|12|23|23|678|678|0.2|0.2|-|-
2600|GROUND WATER FROMVAISHALI|BIHAR|22|23|7|7.1|997|1630|-|-|0.3|4.82|23|23|23|23|658|1072|0.2|0.2|-|-
3162|GROUND WATER FROMVAISHALI|BIHAR|23|23|7.1|7.1|583|583|-|-|5.53|5.53|23|23|23|23|374|374|0.2|0.2|-|-
1832|GROUND WATER NEAR TAPWATER IN CAMPUS OF KALI ASTHAN, BEGUSARAI|BIHAR|26|26|7.2|7.6|698|1130|-|-|1.4|2.25|5|23|5|23|460|738|0.2|0.2|-|-
1833|GROUND WATER NEAR TAPWATER IN CAMPUS OF S.P OFFICE, POKHARIA, BEGUSARAI|BIHAR|26|27|6.8|7.3|261|882|-|-|1.4|1.63|-|-|-|-|166|574|0.2|0.2|-|-
2583|HAND PUMP WATER AT BUSSTAND, GOPALGANJ|BIHAR|28|28|7.1|7.1|1620|1620|-|-|1.62|1.62|23|23|23|23|1018|1018|0.2|0.2|-|-
2586|HAND PUMP WATER AT BUSSTAND, KATIHAR|BIHAR|25|26|7.4|8|286|609|-|-|1.9|3.46|-|-|-|-|182|392|0.2|0.2|-|-
2590|HAND PUMP WATER ATCOLLECTRIATE OFFICE, MADHUBANI|BIHAR|21|21|7.1|7.2|471|532|-|-|0.3|1.8|23|23|23|23|310|350|0.2|0.3|-|-
2577|HAND PUMP WATER AT COURTCAMPOUND, ARARIA|BIHAR|28|29|7.4|7.4|227|795|-|-|1.5|3.07|5|5|5|7|142|612|0.2|0.3|-|-
2588|HAND PUMP WATER AT D.MOFFICE, KISHANGANJ|BIHAR|25|25|7.6|7.7|784|810|-|-|1.7|3.07|23|23|23|23|504|532|0.2|0.2|-|-
2582|HAND PUMP WATER AT DARBHANGA BUS STAND,DARBHANGA|BIHAR|20|20|8.1|8.1|352|352|-|-|0.3|0.3|7|7|7|7|228|228|0.2|0.2|-|-
2581|HAND PUMP WATER AT KILAGATE NEAR RAMBAGH MITHILA UNIVERSITY, DARBHANGA|BIHAR|21|25|7.4|7.9|273|445|-|-|0.3|1.9|23|23|49|49|186|294|0.2|0.3|-|-
2578|HAND PUMP WATER AT SARDARPATEL BUS STAND, BHOJPUR|BIHAR|23|26|6.9|7.3|1011|1300|-|-|1.95|5.6|23|23|23|23|664|874|0.2|0.3|-|-
2584|HAND PUMP WATER ATTHAWAY MANDIR CAMPUS, GOPALGANJ|BIHAR|27|27|7.2|7.2|1170|1170|-|-|5.3|5.3|23|23|23|23|758|758|0.2|0.2|-|-
2580|HAND PUMP WATER FROMNAGAR PARISHAD, BHABHUA|BIHAR|22|22|7.1|7.1|1330|1330|-|-|2.85|2.85|23|23|23|23|898|898|0.2|0.2|-|-
1839|HAND PUMP WATER IN CAMPUSOF KASTURBA WATER WORKS, MUNGER|BIHAR|21|27|7.4|7.9|247|399|-|-|0.3|2.68|23|79|23|79|160|266|0.2|0.3|-|-
1836|HAND PUMP WATER NEAR BUSSTAND TILKS MANJHI CHOWK, BEGUSARAI|BIHAR|21|21|7.2|7.2|257|257|-|-|0.3|0.3|-|-|-|-|172|172|0.2|0.2|-|-
1835|HAND PUMP WATER NEARCOURT LOWER COURT, PURNEA|BIHAR|26|27|7.1|7.5|470|788|-|-|1.5|5.14|27|27|27|27|306|520|0.2|0.2|-|-
2589|HAND PUMP WATER NEAR D.MOFFICE, MADHEPURA|BIHAR|25|27|7.3|8.6|535|748|-|-|1.6|3.42|5|5|7|7|364|492|0.2|0.2|-|-
1834|HAND PUMP WATER NEAR GOVT. HOSPITAL, PURNEA|BIHAR|26|28|7.4|7.7|425|912|-|-|1.8|2.39|23|23|23|23|272|598|0.2|0.3|-|-
2587|HAND PUMP WATER NEARSADAR HOSPITAL, KHAGARIA|BIHAR|26|28|7.2|7.9|767|800|-|-|1.8|3.35|23|23|2|23|12|520|0.2|0.2|-|-
1843|PHED WATER SUPPLY NEAR BUSSTAND, RAJGIR|BIHAR|25|25|7.3|7.3|486|486|-|-|1.14|1.14|23|23|23|23|326|326|0.2|0.2|-|-
2591|TAP WATER INSIDE THE CAMPUS OF TOURIST CAFETERIA,NALANDA|BIHAR|21|21|7.1|7.1|1440|1440|-|-|2.59|2.59|-|-|-|-|1002|1002|0.2|0.2|-|-
2585|TAP WATER NEAR PANI TANKI AT JAHANABAD COURT,JAHANABAD|BIHAR|25|25|7.8|7.8|944|944|-|-|5.34|5.34|23|23|23|23|648|648|0.2|0.2|-|-
1840|TAP WATER PHED PUMP HOUSEMAIN ROAD, MOTIHARI|BIHAR|24|24|8.2|8.2|312|312|-|-|0.3|0.3|12|12|23|23|202|202|0.2|0.2|-|-
1842|TAP WATER SAMPLE ATRAMKUND, GAYA|BIHAR|21|21|8.7|8.7|480|480|-|-|5.12|5.12|-|-|-|-|322|322|0.2|0.2|-|-
1841|TAP WELL WATER FROM T. MODAL INTER SCHOOL, G.BROAD, GAYA|BIHAR|24|24|7|7|1120|1120|-|-|0.75|0.75|23|23|23|23|732|732|0.2|0.2|-|-
2579|TUBE WELL WATER ATCOLLECTRIATE CAMPUS, BUXAR|BIHAR|20|24|6.7|7.2|729|907|-|-|1.5|1.84|-|-|-|-|502|598|0.2|0.2|-|-
2592|HAND WATER AT CIVIL COURTBIHAR SHARIF, NALANDA|BIHAR|24|24|7.8|7.8|2080|2080|-|-|5.69|5.69|5|5|9|9|1476|1476|0.2|0.2|-|-
2598|BOREWELL WATER NEAR DHARMSHALA SASARAM,ROHTAS|BIHAR|21|21|7.9|7.9|241|241|-|-|0.3|0.3|23|23|23|23|160|160|0.2|0.2|-|-
2599|GROUND WATER BUS STANDSASARAM, ROHTAS|BIHAR|20|20|7.9|7.9|735|735|-|-|0.88|0.88|7|7|9|9|482|482|0.2|0.2|-|-
2045|GROUND WATER FROM DADUMAJRA, CHANDIGARH|CHANDIGARH|24.9|26.4|7.1|7.2|714|804|1|1.2|4.9|8.4|2|2|33|41|390|518|0.3|0.7|0.001|0.001
2044|GROUND WATER FROM DHANAS VILLAGE, CHANDIGARH|CHANDIGARH|25|26.3|7|7.3|566|1042|1|1.2|2.7|4.4|2|2|33|79|426|568|0.2|0.2|0.001|0.001
2043|GROUND WATER FROM PALSORA VILLAGE,CHANDIGARH|CHANDIGARH|25|26.4|7.2|7.4|896|909|1|1.5|2.2|3.8|2|5|49|49|430|570|0.3|0.3|0.001|0.001
2039|GROUND WATER FROM SECTOR15, CHANDIGARH|CHANDIGARH|25|26.3|7.2|7.3|505|550|1|1|4.1|7.2|2|2|26|49|306|380|0.2|0.2|0.001|0.001
2040|GROUND WATER FROM SECTOR22, CHANDIGARH|CHANDIGARH|24.9|26.2|7|7.1|694|731|1|1.5|2.7|3.8|2|2|23|27|356|494|0.4|0.5|0.001|0.001
2041|GROUND WATER FROM SECTOR34, CHANDIGARH|CHANDIGARH|24.7|26.1|7|7|835|857|1|1|3|4.2|2|2|22|79|442|442|0.2|0.3|0.001|0.001
2042|GROUND WATER FROM SECTOR47, CHANDIGARH|CHANDIGARH|25|26.6|7|7.3|606|637|1|1|1.8|2.9|2|2|17|40|312|404|0.9|0.9|0.001|0.001
3174|BOREWELL/ HANDPUMP IN DHANRAS, NTPC, KORBA,CHHATISGARH.|CHHATTISGARH|26.2|26.2|7.1|7.3|1502|3102|1|1|1.05|1.05|2|2|2|2|92|236|-|-|-|-
3173|BOREWELL/ HANDPUMP INPARSABHATA, BALCO, KORBA, CHHATISGARH.|CHHATTISGARH|26|26.1|7.1|7.2|4682|46272|1|1|0.74|0.74|2|2|2|2|226|315|-|-|-|-
3172|BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE, KORBA,CHHATISGARH.|CHHATTISGARH|26.2|26.2|6.6|7.2|3735|6061|1|1|0.42|0.87|2|2|2|2|232|266|-|-|-|-
1623|GROUND WATER AT BILASPURREGION, CHHATISGARH.|CHHATTISGARH|27.4|27.4|7.5|7.5|378|378|-|-|0.3|0.3|-|-|-|-|310|310|-|-|-|-
1622|GROUND WATER AT GOVIND NAGAR BILASPUR REGION,CHHATISGARH.|CHHATTISGARH|27.3|27.3|7.4|7.4|348|348|-|-|0.3|0.3|2|2|2|2|248|248|-|-|-|-
1620|GROUND WATER AT JANTA COLONY, STATION ROAD,RAIPUR REGION, CHHATISGARH.|CHHATTISGARH|28|28|7.3|7.5|254|258|-|-|-|-|-|-|-|-|184|198|-|-|-|-
1621|GROUND WATER AT RAIPURREGION, CHHATISGARH.|CHHATTISGARH|22|28|7.3|7.4|255|262|-|-|-|-|-|-|-|-|187|196|-|-|-|-
3171|HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIALAREA, BHILAI, CHHATISGARH.|CHHATTISGARH|22|28|7.2|7.5|-|-|4|8|0.6|0.6|-|-|-|-|140|160|-|-|-|-
2448|GROUND WATER FROM VILLAGE BHIMPORE, DAMAN|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|27.2|29.2|7.1|7.2|437|443|1|1|3.64|3.8|22|23|48|52|279|294|0.2|0.2|0.01|0.01
1440|WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN|DAMAN AND DIU,DADRA AND NAGAR HAVELI|28.1|28.3|6.7|7.1|814|835|1|1|3.67|3.9|2|2|2|10|570|590|0.3|0.4|0.01|0.01
2454|WELL AT VILLAGE ATHAL, DADRA|DAMAN AND DIU,DADRA AND NAGAR HAVELI|28.2|28.6|7.1|7.3|563|603|1|1|0.31|0.33|2|2|7|7|383|391|0.8|0.9|0.01|0.01
2451|WELL AT VILLAGE DABHEL, DAMAN|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|28.4|29.1|7|7.1|1120|1324|1|1|1.67|1.78|2|2|6|8|790|823|0.3|0.4|0.01|0.01
2450|WELL AT VILLAGE DUNETHA, DAMAN|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|27.5|28.3|7.2|7.3|683|809|1|1|1.97|2|2|2|6|7|465|495|0.6|0.6|0.01|0.01
2457|WELL AT VILLAGE GALONDA, DADRA|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|27.2|27.3|7.1|7.3|391|409|1|1|1.05|1.1|2|2|6|6|278|322|0.4|0.6|0.01|0.01
2452|WELL AT VILLAGE KACHIGAM, DAMAN|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|28.6|29.3|7.1|7.4|435|457|1|1|3.57|3.63|9|11|24|25|275|303|0.2|0.2|0.01|0.01
2453|WELL AT VILLAGE KHANVEL, DADRA|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|29.1|29.4|6.8|6.9|483|495|1|1|2.31|2.48|7|10|10|12|322|337|0.3|0.4|0.01|0.01
2456|WELL AT VILLAGE PIPERIA, DADRA|DAMAN AND DIU,DADRA AND NAGAR HAVELI|27.5|27.7|7.1|7.2|2832|2880|1|1|3.87|5.96|2|2|4|4|1917|1931|0.7|0.8|0.01|0.01
2449|WELL AT VILLAGE RINGANWADA, DAMAN|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|28.4|28.8|7.5|7.7|1990|2195|1|1|1.63|1.89|2|2|6|8|1224|1385|0.4|0.4|0.01|0.01
2458|WELL AT VILLAGE, DADRA|DAMAN AND DIU, DADRA ANDNAGAR HAVELI|27|27.6|7.2|7.3|2897|3320|1|1|1.4|2.7|2|2|8|10|2024|2295|0.3|0.3|0.01|0.01
3477|WELL AT ALIPUR, DELHI|DELHI|-|-|7.4|7.4|-|-|-|-|0.3|0.3|-|-|-|-|669|669|-|-|-|-
3479|WELL AT AURBINDO MARG,DELHI|DELHI|-|-|7.5|7.5|-|-|-|-|0.48|0.48|-|-|-|-|675|675|-|-|-|-
3480|WELL AT BAWANA, DELHI|DELHI|-|-|7.1|7.1|-|-|-|-|0.76|0.76|-|-|-|-|461|461|-|-|-|-
3483|WELL AT BURARI, DELHI|DELHI|-|-|7.4|7.4|-|-|-|-|0.3|0.3|-|-|-|-|346|346|-|-|-|-
3485|WELL AT DEFENCE COLONY,DELHI|DELHI|-|-|6.7|6.7|-|-|-|-|0.47|0.47|-|-|-|-|288|288|-|-|-|-
3488|WELL AT DILSHAD GARDEN,DELHI|DELHI|-|-|7.2|7.2|-|-|-|-|0.3|0.3|-|-|-|-|559|559|-|-|-|-
3489|WELL AT DWARKA, DELHI|DELHI|-|-|6.7|6.7|-|-|-|-|0.3|0.3|-|-|-|-|577|577|-|-|-|-
3490|WELL AT FATEH PUR BERI, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|0.76|0.76|-|-|-|-|590|590|-|-|-|-
3492|WELL AT GAJIPUR, DELHI|DELHI|-|-|7|7|-|-|-|-|0.4|0.4|-|-|-|-|679|679|-|-|-|-
3493|WELL AT GANDHI NAGAR, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.3|0.3|-|-|-|-|496|496|-|-|-|-
3494|WELL AT HAIDERPUR, DELHI|DELHI|-|-|7|7|-|-|-|-|0.3|0.3|-|-|-|-|383|383|-|-|-|-
3496|WELL AT ISBT, DELHI|DELHI|-|-|7.2|7.2|-|-|-|-|0.86|0.86|-|-|-|-|375|375|-|-|-|-
3498|WELL AT KALKA JI, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.57|0.57|-|-|-|-|441|441|-|-|-|-
3500|WELL AT KAMLA NAGAR, DELHI|DELHI|-|-|7.2|7.2|-|-|-|-|0.5|0.5|-|-|-|-|536|536|-|-|-|-
3503|WELL AT KAROL BAGH, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.3|0.3|-|-|-|-|358|358|-|-|-|-
3514|WELL AT MATIALA, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.36|0.36|-|-|-|-|807|807|-|-|-|-
3515|WELL AT MAYA PURI, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|0.5|0.5|-|-|-|-|698|698|-|-|-|-
3516|WELL AT MAYUR VIHAR, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|0.3|0.3|-|-|-|-|480|480|-|-|-|-
3517|WELL AT NAJAFGARH, DELHI|DELHI|-|-|7|7|-|-|-|-|0.69|0.69|-|-|-|-|768|768|-|-|-|-
3518|WELL AT NARAINA INDL AREA, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.56|0.56|-|-|-|-|450|450|-|-|-|-
3520|WELL AT OKHLA, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|1.01|1.01|-|-|-|-|838|838|-|-|-|-
3523|WELL AT PARIVESH BHAWAN,DELHI|DELHI|-|-|7.1|7.2|2312|2562|-|-|0.4|1.9|2|2|2|2|1308|1540|0.4|0.4|0.001|0.001
3524|WELL AT PASCHIM VIHAR, DELHI|DELHI|-|-|7.1|7.1|-|-|-|-|0.3|0.3|-|-|-|-|1080|1080|-|-|-|-
3525|WELL AT PATEL NAGAR, DELHI|DELHI|-|-|7|7|-|-|-|-|0.3|0.3|-|-|-|-|394|394|-|-|-|-
3526|WELL AT PATPAR GANJ, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|0.3|0.3|-|-|-|-|1115|1115|-|-|-|-
3527|WELL AT PATPARGANJ INDLAREA, DELHI|DELHI|-|-|7.4|7.4|-|-|-|-|1.5|1.5|-|-|-|-|1110|1110|-|-|-|-
3528|WELL AT PEERAGARHI, DELHI|DELHI|-|-|7.1|7.1|-|-|-|-|0.3|0.3|-|-|-|-|1970|1970|-|-|-|-
3529|WELL AT PILANJI, DELHI|DELHI|-|-|7.7|7.7|-|-|-|-|0.34|0.34|-|-|-|-|312|312|-|-|-|-
3530|WELL AT PRIYA ENCLAVE, DELHI|DELHI|-|-|7|7|-|-|-|-|0.3|0.3|-|-|-|-|485|485|-|-|-|-
3531|WELL AT QUTAB GARH, DELHI|DELHI|-|-|7.5|7.5|-|-|-|-|0.57|0.57|-|-|-|-|2850|2850|-|-|-|-
3532|WELL AT RAJENDER NAGAR,DELHI|DELHI|-|-|7|7|-|-|-|-|1.03|1.03|-|-|-|-|-|-|-|-|-|-
3533|WELL AT RAJPURA ROAD, DELHI|DELHI|-|-|7.2|7.2|-|-|-|-|0.36|0.36|-|-|-|-|397|397|-|-|-|-
3535|WELL AT ROHINI, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|1.5|1.5|-|-|-|-|367|367|-|-|-|-
3536|WELL AT SAKET, DELHI|DELHI|-|-|7.4|7.4|-|-|-|-|0.3|0.3|-|-|-|-|500|500|-|-|-|-
3537|WELL AT SHAHDARA, DELHI|DELHI|-|-|6.3|6.3|-|-|-|-|0.68|0.68|-|-|-|-|337|337|-|-|-|-
3538|WELL AT SINGHU BORDER, DELHI|DELHI|-|-|7.3|7.3|-|-|-|-|0.99|0.99|-|-|-|-|1930|1930|-|-|-|-
3539|WELL AT SINGOLA, DELHI|DELHI|-|-|7.4|7.4|-|-|-|-|0.53|0.53|-|-|-|-|896|896|-|-|-|-
3540|WELL AT SULTANPURI, DELHI|DELHI|-|-|6.9|6.9|-|-|-|-|0.49|0.49|-|-|-|-|689|689|-|-|-|-
3541|WELL AT TIKRI KALAN , DELHI|DELHI|-|-|7.1|7.1|-|-|-|-|0.87|0.87|-|-|-|-|2870|2870|-|-|-|-
3542|WELL AT TILAK NAGAR, DELHI|DELHI|-|-|7.2|7.2|-|-|-|-|0.36|0.36|-|-|-|-|642|642|-|-|-|-
3543|WELL AT TRILOKPURI, DELHI|DELHI|-|-|7|7|-|-|-|-|0.3|0.3|-|-|-|-|540|540|-|-|-|-
3544|WELL AT UJWAH, DELHI|DELHI|-|-|7.1|7.1|-|-|-|-|0.98|0.98|-|-|-|-|361|361|-|-|-|-
3545|WELL AT VASANT KUNJ, DELHI|DELHI|-|-|7.7|7.7|-|-|-|-|0.41|0.41|-|-|-|-|311|311|-|-|-|-
3546|WELL AT VASANT VIHAR|DELHI|-|-|7.2|7.2|-|-|-|-|0.3|0.3|-|-|-|-|409|409|-|-|-|-
3534|WELL NEAR GURUDWARA SHRIRAKABGANJ SAHIB, DELHI|DELHI|-|-|6.8|6.8|-|-|-|-|0.3|0.3|-|-|-|-|730|730|-|-|-|-
3194|BORE WELL AT BETHORAINDUSTRIAL ESTATE|GOA|29|29|7.1|7.1|118|118|1.8|1.8|0.5|0.5|2|2|2|2|77|77|0.2|0.2|0.001|0.001
3195|BORE WELL AT MADKAIMINDUSTRIAL ESTATE|GOA|28|28|7.9|7.9|101|101|1.9|1.9|0.5|0.5|2|2|2|2|64|64|0.2|0.2|0.001|0.001
2281|WELL AT CORLIM INDL. ESTATE|GOA|29|29|5|5|91|91|1.2|1.2|0.3|0.3|2|2|2|2|54|54|0.2|0.2|0.001|0.001
2280|WELL AT KUDAI INDL. ESTATE(M/S CADILAHEALTHCARE LIMITED)|GOA|28|28|5.6|5.6|122|122|4.2|4.2|0.3|0.3|2|2|2|2|77|77|0.2|0.2|0.001|0.001
2282|WELL AT PILERNE INDUSTRIALESTATE(M/S UNICHEM )|GOA|28|28|6.9|6.9|314|314|1.7|1.7|0.3|0.3|2|2|5|5|163|163|0.4|0.4|0.001|0.001
2278|WELL AT SANCOALEINDL.ESTATE|GOA|29|29|7.1|7.1|258|258|2|2|0.3|0.3|2|2|2|2|144|144|0.4|0.4|0.001|0.001
2277|WELL AT VERNA INDI.ESTATE.(M/S CIPLALIMITED)|GOA|30|30|6.3|6.3|378|378|1|1|2.5|2.5|2|2|2|2|234|234|0.2|0.2|0.001|0.001
1967|ATUL, VILLAGE G.W, (VALSAD)|GUJARAT|27|27|7.7|7.7|2032|3326|1|1|0.38|0.4|2|2|2|2|1076|1680|0.4|0.5|0.001|0.001
2089|B/W NEAR INDL. AREA BORASARA & NAVAPURA, DIST.SURAT.|GUJARAT|30|31|7.9|8.4|3077|3348|1|2.3|0.3|0.3|2|2|2|2|1876|2036|0.3|0.7|0.001|0.001
4414|B/W OF DISASTER PREVENTION AND MANAGEMANT CENTER(DPMC) GIDE, ANKLESHWAR FOR (MINARS)|GUJARAT|27|29|7.8|8.3|1049|1332|1|1|0.3|0.3|2|2|2|2|702|814|0.4|0.6|-|-
4413|B/W OF JASHWANTBHAI PARMAR, S. NO. 18 AT: VILLAGEKALAMSAR, TA KHAMBHAT|GUJARAT|29|30|8.1|8.7|1172|1265|1|1|0.3|1.77|2|2|2|2|760|810|0.6|0.7|0.001|0.001
2095|BORE WELL AT STP MADHAPAR,DIST. RAJKOT.|GUJARAT|28|28|7.2|7.2|1206|1206|1.4|1.4|1.1|1.1|-|-|-|-|1032|1032|0.2|0.2|0.004|0.004
4416|BORE WELL AT VORAGAMDI|GUJARAT|30|33|7|8.6|2525|3101|1|1|0.3|0.3|2|2|2|2|1636|2014|0.8|1|0.001|0.002
2083|BORE WELL OF CHHATRAL GIDC.|GUJARAT|29|29|8.2|8.2|2324|2324|1|1|1.5|1.5|2|2|2|2|1390|1390|1|1|0.001|0.001
4422|BORE WELL OF ITI COLLAGE OPP, M/S PALIWAL MILK AT MOTA SONELA, MODASA ROAD, TAL,LUNAVADA, DIST. MAHISAGAR|GUJARAT|27|29|7.6|8.3|894|940|1|1|0.3|0.35|2|2|2|2|580|610|0.8|1|0.001|0.001
2091|BORE WELL OF NAVSARI GIDCINDUSTRIES ASSOCIATION OFFICE.|GUJARAT|31|33|8|8.3|2337|2399|1|2.6|0.3|0.4|2|2|2|2|1420|1462|0.3|0.5|0.001|0.001
2084|BORE WELL OF PALSANAVILLAGE.|GUJARAT|30|30|8.4|8.5|1256|1405|1|2.1|0.3|0.8|2|2|2|2|762|856|0.2|0.4|0.001|0.001
2098|BORE WELL OF PIRANA TERMINAL PUMPING STATION, PIRANA, NR. V. N. BRIDGE,AHMEDABAD.|GUJARAT|27|28|7.1|7.9|2780|3180|1|1|0.3|0.9|2|2|2|2|1576|1816|0.6|1.3|0.001|0.001
2088|BORE WELL OF SACHIN GIDC.|GUJARAT|30|31|7.6|7.8|7767|8704|1.2|2.8|0.3|0.6|2|2|2|2|4722|5308|0.4|0.8|0.001|0.001
2085|BORE WELL OF SANTEJ VILLAGE.|GUJARAT|29|29|7.1|7.1|2164|2164|1|1|0.5|0.5|2|2|2|2|1276|1276|0.7|0.7|0.001|0.001
2097|BORE WELL OF SOMESHWAR RICE MILL, NR. BAVLA ECO PROJECT, (CETP ), VILL. BAVLA,DIST. AHMEDABAD.|GUJARAT|31|32|7.3|8.5|5155|5910|1|1|0.3|0.6|2|2|2|2|3150|3232|0.6|0.9|0.001|0.001
2096|BORE WELL, SNR. VINAYAK JAL SUDDHIKARAN SAHAKARI MANDALI LTD. (CETP ), VILL.BAVLA, DIST. AHMEDABAD.|GUJARAT|32|32|7.2|8.2|5462|6041|1|1|0.3|0.3|2|2|2|2|3240|3242|0.4|0.5|0.001|0.001
3245|BOREWELL AT DHANGADHRANEAR DHANGADHRA CHEMICALS|GUJARAT|27|33|7.3|7.4|384|2519|1.4|1.4|1|1.58|2|2|2|2|252|2168|0.2|0.3|0.001|0.005
3210|BOREWELL AT PIRAMAL GLASS,VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA, SURAT|GUJARAT|29|30|7.7|7.9|3771|3868|1|2.7|0.3|0.7|2|2|2|2|2292|2358|0.3|0.7|0.001|0.001
3211|BOREWELL AT PRIMARY HEALTHCENTER, KADODARA, SURAT|GUJARAT|29|30|8|8.3|1886|2096|1|2|0.3|0.4|2|2|2|2|1146|1278|0.2|0.5|0.001|0.001
1970|BOREWELL D/S TSDF SITE, GIDCINDUSTRIAL AREA, VAPI|GUJARAT|25|27|7.6|8|1056|3288|1|1|0.41|0.7|2|2|2|2|562|1632|0.3|0.5|0.001|0.001
3223|BOREWELL KADI INDUSTRIALAREA|GUJARAT|28|30|7.8|8.1|1853|2330|1|1|0.3|0.3|2|2|2|2|974|1484|0.7|0.8|0.001|0.001
3212|BOREWELL NEAR CENTER OFEXCELLENCE BUILDING, GIDC, VATVA, AHMEDABAD|GUJARAT|27|30|7.4|8.5|2265|2307|1|1|0.3|0.34|2|2|2|2|940|1276|0.6|0.9|0.001|0.001
3214|BOREWELL NEAR GIDC ODHAVINDUSTRIAL ASSOCIATION|GUJARAT|27|30|7.4|8.3|1998|2418|1|1|0.3|0.39|2|2|2|2|1070|1448|0.5|0.8|0.001|0.001
None|BUILDING, GIDC, ODHAV,AHMEDABAD|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
3215|BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR,NAROL, AHMEDABAD|GUJARAT|26|28|7.2|8.2|3401|3895|1|1|0.3|1.2|2|2|2|2|1922|2362|0.7|2|-|-
3244|BOREWELL NEAR TSDF OF BHARUCH ENVIRO INFRASTRUCTURE LIMITED,ANKLESHWAR, BHARUCH|GUJARAT|28|29|7.2|7.3|3352|3384|1|1.9|0.3|0.3|2|2|2|2|1926|2196|0.2|0.6|-|-
3216|BOREWELL NEAR TSDF SITE OF GREEN ENVIRONMNET SERVICESCO. OP.LTD, VATVA, AHMEDABAD|GUJARAT|27|30|7.4|8.2|2708|2855|1|1.3|0.3|0.38|2|2|2|2|1402|1486|0.7|0.9|0.001|0.001
3217|BOREWELL NEAR TSDF SITE OFNARODA ENVIRO PROJECT.LTD, ODHAVE, AHMEDABAD|GUJARAT|27|30|7.6|8.5|2350|2474|1|1|0.3|0.91|2|2|2|2|1198|1346|0.8|1|0.001|0.001
3234|BOREWELL NERA TSDF OF NANDESARI ENVIRO CONTROL LIMITED, NADESARI, VADODARA|GUJARAT|29|30|7.6|8.5|9271|11165|1.7|2.5|1.1|1.32|2|2|2|2|6670|7530|1.4|1.6|0.001|0.001
3240|BOREWELL OF AJI GIDC, RAJKOT|GUJARAT|27|27|7.4|7.4|1526|1526|1.4|1.4|1.3|1.3|-|-|-|-|1088|1088|0.3|0.3|0.002|0.002
3209|BOREWELL OF GAYATRI PRAGNASCHOOL, BHADARWAD ROAD, BAZAR FALIA, SARIGAM, VALSAD|GUJARAT|28|29|7.5|7.7|817|994|1|1|0.3|0.4|2|2|2|2|496|496|0.2|0.2|0.001|0.001
3235|BOREWELL OF GIDC KALOL, B/HGIDC OFFICE, GIDC, KALOL, GANDHINAGAR|GUJARAT|29|29|7.7|7.7|2091|2091|1|1|0.3|0.3|2|2|2|2|1140|1140|0.8|0.8|0.001|0.001
3238|BOREWELL OF GIDC KANSARI|GUJARAT|29|30|7.7|8.1|4990|5249|1|1|0.3|0.3|2|2|2|2|3240|3410|0.9|0.9|0.001|0.002
3246|BOREWELL OF GIDC OFFICE,SHANKAR TEKRI, UDHYOGNAGAR, JAMNANGAR|GUJARAT|25|27|7.3|7.6|3309|3415|1|1.1|0.3|0.33|2|2|2|2|1166|2580|0.2|0.3|0.001|0.001
3232|BOREWELL OF GIDC, ANTALIA WATER SUPPLY, BILLIMORA,GANDEVI|GUJARAT|31|33|7.8|8.4|1847|2398|1|2.7|0.3|0.5|2|2|2|2|1122|1462|0.4|0.5|0.001|0.001
